Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
09/21/2006,Z (Dec 06),152.60,153.00,152.60,153.00,153.00,0.00,50,0,50
09/22/2006,Z (Dec 06),153.80,159.00,153.80,159.00,159.30,6.30,2164,0,2160
09/25/2006,Z (Dec 06),157.70,157.70,155.70,156.00,156.30,-3.00,20,0,2180
09/26/2006,Z (Dec 06),156.90,158.00,154.90,158.00,156.80,0.50,3746,0,5906
09/27/2006,Z (Dec 06),157.00,157.30,157.00,157.30,157.10,0.30,13,0,5889
09/28/2006,Z (Dec 06),157.80,158.10,156.00,156.00,156.50,-0.60,43,0,5870
09/29/2006,Z (Dec 06),156.50,156.90,156.00,156.00,156.20,-0.30,31,0,5880
10/02/2006,Z (Dec 06),155.50,156.30,155.50,156.30,156.30,0.10,15,0,5875
10/03/2006,Z (Dec 06),156.80,156.80,154.80,155.20,155.70,-0.60,19,0,5888
10/04/2006,Z (Dec 06),155.10,155.10,152.10,152.10,152.10,-3.60,11,0,5890
10/05/2006,Z (Dec 06),151.50,151.50,150.30,150.30,150.60,-1.50,16,0,5900
10/06/2006,Z (Dec 06),150.00,150.00,149.20,149.50,149.40,-1.20,60,0,5911
10/09/2006,Z (Dec 06),148.90,148.90,148.00,148.20,148.20,-1.20,16,0,5921
10/10/2006,Z (Dec 06),148.90,149.00,145.80,145.80,146.20,-2.00,143,0,6022
10/11/2006,Z (Dec 06),145.40,146.00,143.90,145.40,144.40,-1.80,63,0,5997
10/12/2006,Z (Dec 06),143.60,143.60,140.70,140.70,140.40,-4.00,263,0,5139
10/13/2006,Z (Dec 06),140.00,140.00,137.70,137.70,138.40,-2.00,140,0,5154
10/16/2006,Z (Dec 06),137.30,138.40,136.80,137.00,136.90,-1.50,198,0,5286
10/17/2006,Z (Dec 06),137.80,140.20,136.80,136.80,137.20,0.30,174,0,5396
10/18/2006,Z (Dec 06),136.40,137.00,135.60,136.00,135.90,-1.30,48,0,5434
10/19/2006,Z (Dec 06),137.20,137.20,134.70,134.70,134.80,-1.10,48,0,5459
10/20/2006,Z (Dec 06),135.90,136.30,133.00,133.00,132.90,-1.90,149,0,5722
10/23/2006,Z (Dec 06),134.00,134.00,129.60,131.50,131.60,-1.30,356,0,5908
10/24/2006,Z (Dec 06),132.50,132.50,128.10,128.10,128.30,-3.30,367,0,6162
10/25/2006,Z (Dec 06),128.00,128.00,125.20,125.20,125.20,-3.10,378,0,6455
10/26/2006,Z (Dec 06),125.00,125.50,121.90,122.20,122.10,-3.10,471,0,6715
10/27/2006,Z (Dec 06),123.60,123.90,122.00,122.50,122.60,0.50,110,0,6888
10/30/2006,Z (Dec 06),123.30,123.90,121.60,122.70,123.00,0.40,148,0,7019
10/31/2006,Z (Dec 06),123.50,123.90,121.50,121.50,121.60,-1.40,365,0,7297
11/01/2006,Z (Dec 06),121.60,124.80,121.10,124.50,124.30,2.70,299,0,7429
11/02/2006,Z (Dec 06),124.50,126.00,124.00,124.40,124.90,0.60,163,0,7480
11/03/2006,Z (Dec 06),123.40,125.30,123.00,124.80,124.50,-0.40,242,0,7575
11/06/2006,Z (Dec 06),124.80,124.80,119.50,120.00,120.20,-4.30,244,0,7630
11/07/2006,Z (Dec 06),119.80,120.90,118.60,120.70,120.50,0.30,297,0,7865
11/08/2006,Z (Dec 06),121.00,121.60,118.20,118.20,118.50,-2.00,696,600,8562
11/09/2006,Z (Dec 06),119.00,119.50,117.50,117.60,118.70,0.20,438,0,8154
11/10/2006,Z (Dec 06),0.00,0.00,0.00,0.00,119.80,1.10,275,0,8486
11/13/2006,Z (Dec 06),119.00,119.50,117.30,119.50,119.70,-0.10,1795,0,10066
11/14/2006,Z (Dec 06),119.50,120.70,116.80,117.00,117.20,-2.50,1223,0,11430
11/15/2006,Z (Dec 06),118.90,118.90,115.00,116.00,116.20,-1.00,541,0,10495
11/16/2006,Z (Dec 06),115.00,116.00,114.00,116.00,115.80,-0.40,498,0,10988
11/17/2006,Z (Dec 06),116.30,117.40,116.30,116.50,116.70,0.90,441,0,11260
11/20/2006,Z (Dec 06),117.50,117.60,113.50,114.00,114.30,-2.40,838,0,11763
11/21/2006,Z (Dec 06),114.00,115.20,113.60,115.20,115.00,0.70,517,0,12091
11/22/2006,Z (Dec 06),115.70,116.10,114.20,116.00,116.10,1.10,228,0,12134
11/24/2006,Z (Dec 06),117.10,119.30,116.00,117.10,117.10,1.00,268,0,12152
11/27/2006,Z (Dec 06),117.50,126.00,117.10,124.50,124.60,7.50,772,0,12460
11/28/2006,Z (Dec 06),125.00,126.30,119.10,119.50,120.00,-4.60,603,0,12610
11/29/2006,Z (Dec 06),118.20,118.20,114.20,114.20,114.60,-5.40,510,0,12913
11/30/2006,Z (Dec 06),113.90,117.50,113.40,113.60,113.70,-0.90,430,0,13065
12/01/2006,Z (Dec 06),113.90,119.80,113.90,116.00,116.50,2.80,409,0,12155
12/04/2006,Z (Dec 06),116.50,116.50,114.50,115.00,114.90,-1.60,253,0,11909
12/05/2006,Z (Dec 06),114.00,115.60,114.00,115.00,115.20,0.30,199,0,11877
12/06/2006,Z (Dec 06),116.00,116.40,115.00,116.00,115.50,0.30,173,0,11995
12/07/2006,Z (Dec 06),114.60,120.30,113.90,120.30,120.00,4.50,348,0,11924
12/08/2006,Z (Dec 06),119.00,122.90,119.00,120.50,119.80,-0.20,775,0,11655
12/11/2006,Z (Dec 06),120.00,120.00,114.00,114.00,114.30,-5.50,1593,0,10964
12/12/2006,Z (Dec 06),114.20,114.20,110.00,112.60,111.80,-2.50,1311,0,11396
12/13/2006,Z (Dec 06),110.30,110.30,105.30,105.70,105.40,-6.40,729,0,11003
12/14/2006,Z (Dec 06),106.70,106.80,102.00,103.40,103.70,-1.70,2096,0,8904
12/15/2006,Z (Dec 06),101.60,104.50,101.00,103.50,104.40,0.70,3613,0,7990
12/18/2006,Z (Dec 06),104.00,106.80,103.50,105.60,105.60,1.20,1095,0,5306
12/19/2006,Z (Dec 06),106.00,111.00,104.60,108.00,105.70,0.10,1116,0,4814
12/20/2006,Z (Dec 06),0.00,0.00,0.00,0.00,100.53,-5.17,0,0,3347
