Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/19/2006,N (Jul 06),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/22/2006,N (Jul 06),150.50,150.50,150.50,150.50,151.20,151.20,10,0,10
05/23/2006,N (Jul 06),149.50,149.60,145.80,149.40,149.10,-2.10,102,0,95
05/24/2006,N (Jul 06),150.40,153.90,150.40,153.90,152.40,3.30,76,0,146
05/25/2006,N (Jul 06),152.10,152.10,151.30,151.70,150.50,-1.90,225,0,366
05/26/2006,N (Jul 06),149.50,149.50,148.40,148.80,148.20,-2.30,26,0,387
05/30/2006,N (Jul 06),149.80,159.60,149.80,159.60,160.40,12.20,226,0,580
05/31/2006,N (Jul 06),158.00,158.90,158.00,158.30,158.80,-1.60,17,0,580
06/01/2006,N (Jul 06),156.00,156.00,154.90,154.90,153.50,-5.30,16,0,611
06/02/2006,N (Jul 06),150.10,150.60,150.10,150.50,149.80,-3.70,32,0,591
06/05/2006,N (Jul 06),150.70,156.00,150.00,156.00,155.90,6.10,72,0,621
06/06/2006,N (Jul 06),157.40,160.80,157.40,160.80,158.80,2.90,51,0,662
06/07/2006,N (Jul 06),158.00,164.30,158.00,164.30,163.50,4.70,110,0,747
06/08/2006,N (Jul 06),164.40,173.10,164.40,168.00,169.10,5.60,93,0,818
06/09/2006,N (Jul 06),169.00,171.00,168.90,171.00,170.20,1.10,62,0,810
06/12/2006,N (Jul 06),172.20,175.00,172.20,175.00,175.70,5.50,15,0,819
06/13/2006,N (Jul 06),175.00,187.10,175.00,187.10,186.90,11.20,236,0,1049
06/14/2006,N (Jul 06),185.50,195.70,184.50,188.20,189.40,2.50,130,0,1128
06/15/2006,N (Jul 06),185.00,185.00,163.00,163.70,162.40,-27.00,496,0,1542
06/16/2006,N (Jul 06),163.90,168.00,163.90,168.00,167.30,4.90,225,0,1674
06/19/2006,N (Jul 06),165.00,169.60,164.60,169.00,168.80,1.50,94,0,1702
06/20/2006,N (Jul 06),165.70,167.40,165.70,167.00,166.20,-2.60,63,0,1763
06/21/2006,N (Jul 06),168.10,168.10,152.50,156.80,156.70,-9.50,579,0,2002
06/22/2006,N (Jul 06),156.40,159.30,156.20,157.00,157.60,0.90,217,0,1705
06/23/2006,N (Jul 06),158.90,159.00,154.30,155.30,156.90,-0.70,90,0,1775
06/26/2006,N (Jul 06),158.50,158.80,156.00,156.00,155.60,-1.30,63,0,1610
06/27/2006,N (Jul 06),154.40,160.00,153.80,160.00,159.30,3.70,79,0,1615
06/28/2006,N (Jul 06),157.50,162.00,157.50,160.00,159.60,0.30,57,0,1581
06/29/2006,N (Jul 06),158.80,158.80,142.30,143.30,143.40,-16.20,511,0,1891
06/30/2006,N (Jul 06),140.60,141.20,138.80,140.30,140.20,-3.20,342,0,1846
07/03/2006,N (Jul 06),139.00,139.40,136.60,136.80,137.20,-3.00,265,0,1903
07/05/2006,N (Jul 06),138.90,147.70,138.90,143.90,144.00,6.80,249,0,1737
07/06/2006,N (Jul 06),141.00,141.60,138.10,141.60,141.60,-2.40,97,0,1752
07/07/2006,N (Jul 06),142.00,144.60,140.00,144.00,143.60,2.00,93,0,1771
07/10/2006,N (Jul 06),143.00,144.50,141.00,143.30,143.20,-0.40,62,0,1761
07/11/2006,N (Jul 06),144.50,146.60,138.50,138.50,139.00,-4.20,218,0,1779
07/12/2006,N (Jul 06),138.30,145.10,138.30,144.90,144.40,5.40,128,0,1790
07/13/2006,N (Jul 06),146.60,164.00,146.60,163.50,163.60,19.20,519,0,2074
07/14/2006,N (Jul 06),161.50,173.70,161.50,170.90,172.70,9.10,269,0,2190
07/17/2006,N (Jul 06),172.10,175.70,168.00,173.50,173.50,0.80,455,0,2368
07/18/2006,N (Jul 06),169.50,186.00,169.50,177.70,178.60,5.10,617,0,2343
07/19/2006,N (Jul 06),0.00,0.00,0.00,0.00,170.05,-8.55,0,0,2122
