Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
5/21/2004,N (Jul 04),0,0,0,0,0,-1.5,0,0,0
5/24/2004,N (Jul 04),190.8,191.1,190.8,191.1,190.4,190.4,765,0,765
5/25/2004,N (Jul 04),187.5,187.5,183.8,183.8,180,-10.4,265,0,1015
5/26/2004,N (Jul 04),181.5,182,181.5,182,180.9,0.9,2,0,1017
5/27/2004,N (Jul 04),181.8,182,180,180,179,-1.9,18,0,1035
5/28/2004,N (Jul 04),180.5,181,180.4,180.4,180.6,1.6,45,0,1080
6/1/2004,N (Jul 04),182.3,182.7,182.3,182.5,181.6,1,21,0,1100
6/2/2004,N (Jul 04),182,182.7,181.5,181.5,181,-0.6,18,0,1116
6/3/2004,N (Jul 04),0,0,0,0,183.3,2.3,0,0,1116
6/4/2004,N (Jul 04),182.2,185.8,180.6,183.4,185.1,1.8,181,0,1287
6/7/2004,N (Jul 04),183.4,183.4,181,181,180.7,-4.4,4,0,1289
6/8/2004,N (Jul 04),182.8,183,176.9,178.9,177.3,-3.4,145,0,1431
6/9/2004,N (Jul 04),175.5,179.5,172,179.5,178.6,1.3,128,0,1556
6/10/2004,N (Jul 04),177.4,178.7,176,176,175.7,-2.9,633,0,2100
6/14/2004,N (Jul 04),177.4,178.7,176,176,175.7,0,0,0,2100
6/15/2004,N (Jul 04),175,175,170.5,173.1,172.3,-7,238,0,2057
6/16/2004,N (Jul 04),171.7,172.3,170,171.5,171,-1.3,186,0,2127
6/17/2004,N (Jul 04),172.5,173.4,171.1,171.5,171.4,0.4,488,0,2182
6/18/2004,N (Jul 04),171.5,171.5,168.4,169.4,170,-1.4,50,0,2237
6/21/2004,N (Jul 04),170,172,170,172,172.6,2.6,3,0,2334
6/22/2004,N (Jul 04),172.6,173.6,168,168,167.7,-4.9,127,0,2216
6/23/2004,N (Jul 04),168.2,168.8,154.7,158,157.9,-9.8,215,0,2452
6/24/2004,N (Jul 04),159.6,160.6,159,160.6,160.2,2.3,41,0,2470
6/25/2004,N (Jul 04),160.2,161,159.7,160.5,162.3,2.1,16,0,2470
6/28/2004,N (Jul 04),162,163.4,162,163.4,163.7,1.4,58,0,2514
6/29/2004,N (Jul 04),163.1,163.1,160,160,159.8,-3.9,93,0,2583
6/30/2004,N (Jul 04),159.5,160,153,153,153.8,-6,206,0,2728
7/1/2004,N (Jul 04),154,158.4,152,155.8,156.7,2.9,99,0,2708
7/2/2004,N (Jul 04),155,157,154.5,157,155.6,-1.1,15,0,2718
7/6/2004,N (Jul 04),159.1,163.3,158.5,160.6,162.2,6.6,322,0,2857
7/7/2004,N (Jul 04),163.1,163.1,155.4,157,156.7,-5.5,222,0,2989
7/8/2004,N (Jul 04),160.1,160.1,155.9,159.6,159.4,2.7,130,0,2967
7/9/2004,N (Jul 04),156.5,158,156,158,157.4,-2,88,0,3019
7/12/2004,N (Jul 04),156.9,157.5,149.7,150.7,150.9,-6.5,1133,0,2166
7/13/2004,N (Jul 04),149.4,149.4,142,143,143.1,-7.8,758,0,1788
7/14/2004,N (Jul 04),0,0,0,0,131.34,-11.76,0,0,1732
