Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
3/26/2004,M (Jun 04),203.3,203.7,201,202,201.6,0,26,0,26
3/29/2004,M (Jun 04),198.5,198.5,197.3,197.6,197.7,0,32,0,45
3/30/2004,M (Jun 04),198.5,198.8,197.3,197.3,197.9,0.2,29,0,44
3/31/2004,M (Jun 04),199.8,199.8,199,199,198.5,0.6,3,0,41
4/1/2004,M (Jun 04),199.4,199.4,199.4,199.4,196.1,-2.4,1,0,41
4/2/2004,M (Jun 04),195.1,195.1,192,192.5,191.6,-4.5,50,0,88
4/5/2004,M (Jun 04),190,190,186.3,186.3,186.2,-5.4,48,0,134
4/6/2004,M (Jun 04),188.2,188.6,187,187,187.9,1.7,18,0,181
4/7/2004,M (Jun 04),189.5,192.2,189.5,192.2,191.2,3.3,10,0,188
4/8/2004,M (Jun 04),192.5,192.5,190.2,190.2,190,-1.2,25,0,209
4/12/2004,M (Jun 04),187.5,190.2,187.5,190.2,189,-1,2,0,209
4/13/2004,M (Jun 04),188.5,193.1,188.5,193,192.9,3.9,57,0,222
4/14/2004,M (Jun 04),193,196,193,195.8,194.7,1.8,10,0,163
4/15/2004,M (Jun 04),195.7,195.7,194.9,195,194.7,0,29,0,190
4/16/2004,M (Jun 04),195.1,195.6,193.6,193.6,194.3,-0.4,319,0,432
4/19/2004,M (Jun 04),195.8,196.3,195.8,196.3,196.8,2.5,111,0,540
4/20/2004,M (Jun 04),196.8,197.6,196.8,197.6,199.6,2.8,6,0,546
4/21/2004,M (Jun 04),197.7,197.7,196.9,197.1,197,-2.6,14,0,558
4/22/2004,M (Jun 04),196.1,196.1,186.4,186.4,187.7,-9.3,111,0,625
4/23/2004,M (Jun 04),189,191.9,189,191.8,190.9,3.2,564,0,1169
4/26/2004,M (Jun 04),191.3,191.4,189.9,190,189.6,-1.3,35,0,1187
4/27/2004,M (Jun 04),189.5,189.5,187.6,187.6,187.7,-1.9,109,0,1200
4/28/2004,M (Jun 04),189.8,194,189.8,192.1,192.7,5,354,0,1487
4/29/2004,M (Jun 04),193.4,197.1,191.4,197,196.4,3.7,865,0,1707
4/30/2004,M (Jun 04),194.7,197.7,193.5,197.2,198.5,2.1,43,0,1699
5/3/2004,M (Jun 04),195.6,195.6,193.3,193.3,192.7,-5.8,34,0,1710
5/4/2004,M (Jun 04),191.5,192.1,189.7,190.2,192,-0.7,67,0,1759
5/5/2004,M (Jun 04),190.9,192.3,188.3,188.3,187.9,-4.1,116,0,1837
5/6/2004,M (Jun 04),190,198.5,190,194.8,194.1,6.2,219,0,1888
5/7/2004,M (Jun 04),195.1,198.5,192.5,198.5,198.7,4.6,141,0,1868
5/10/2004,M (Jun 04),202.2,206.7,202.2,206.4,204.3,5.6,447,0,1857
5/11/2004,M (Jun 04),202,202.5,198.7,199,199.7,-4.6,96,0,1843
5/12/2004,M (Jun 04),198,207.9,195.7,196,196.1,-3.6,175,0,1491
5/13/2004,M (Jun 04),198,207.9,195.7,196,195.8,-0.3,122,0,1551
5/14/2004,M (Jun 04),193.3,198.2,193.2,197.5,196.7,0.9,37,0,1580
5/17/2004,M (Jun 04),198.7,202.9,198.2,202.8,202.1,5.4,119,0,1631
5/18/2004,M (Jun 04),199.6,200.9,199.6,200.9,200.7,-1.4,42,0,1676
5/19/2004,M (Jun 04),196,196.4,187.4,191.7,191.7,-9,399,0,1868
5/20/2004,M (Jun 04),190.6,193.1,189.9,192.8,193.4,1.7,84,0,1819
5/21/2004,M (Jun 04),193.2,193.3,191,191,191.7,-1.7,84,0,1875
5/24/2004,M (Jun 04),186.1,190,186,188,187.7,-4,817,0,1241
5/25/2004,M (Jun 04),189,189,174.4,175.2,175,-12.7,398,0,1262
5/26/2004,M (Jun 04),176,177.5,175.3,175.9,176.1,1.1,246,0,1423
5/27/2004,M (Jun 04),174.6,176,172.9,174,173.5,-2.6,324,0,1574
5/28/2004,M (Jun 04),175.5,176.5,175.5,175.7,175.8,2.3,42,0,1609
6/1/2004,M (Jun 04),176,176.2,175.5,176.2,176,0.2,64,0,1671
6/2/2004,M (Jun 04),176.4,176.5,176,176.1,176.5,0.5,110,0,1776
6/3/2004,M (Jun 04),176,177,174.3,176,176,-0.5,289,0,1763
6/4/2004,M (Jun 04),174.6,174.6,170.2,171.9,172.8,-3.2,152,0,1822
6/7/2004,M (Jun 04),171,171.6,165.6,166.4,165.8,-7,339,0,2143
6/8/2004,M (Jun 04),168.5,168.6,161.5,162.1,161.8,-4,462,0,2452
6/9/2004,M (Jun 04),162.7,162.9,158.6,162.9,162,0.2,133,0,2495
6/10/2004,M (Jun 04),161.4,161.4,156.1,158,157.1,-4.9,616,0,2418
6/14/2004,M (Jun 04),161.4,161.4,156.1,158,157.1,0,0,0,2430
6/15/2004,M (Jun 04),156.6,156.6,148,150.2,150.3,-12.6,490,0,2541
6/16/2004,M (Jun 04),0,0,0,0,139.97,-10.33,0,0,2541
